No;nama_pemda;Tahun;Ekonomi;Kesehatan;Ketertiban;Lingkungan;ParBud;Pelayanan;Pendidikan;Sosial;Rumah_Fasum;Populasi;Base_AHH;Target_AHH;Base_HLS;Target_HLS;Base_RLS;Target_RLS;Base_PPK;Target_PPK;Base_IPM;Target_IPM
202;Kab. Ponorogo;2018;1,19184E+11;3,24801E+11;13488306039;16524754416;12240922685;2,9424E+11;7,01432E+11;23075914711;2,93651E+11;871370;72,27;72,43;13,69;13,7;7,01;7,17;8788;9107;69,26;69,91
203;Kab. Poso;2018;85833826004;2,03246E+11;13412103508;18347616354;9100118065;3,9453E+11;3,29225E+11;16277165512;2,07107E+11;301590;70,16;70,51;13,46;13,645;8,81;9,04;8781;8936;69,78;70,68
204;Kab. Pringsewu;2018;46510281311;1,29094E+11;12344852126;16622360924;3697824862;1,94181E+11;3,85392E+11;13065968203;1,83485E+11;397219;69,14;69,44;12,77;12,78;7,85;8,01;9731;10190;68,61;69,42
205;Kab. Probolinggo;2018;1,43732E+11;3,09921E+11;16981456266;19887612495;12381389008;3,55217E+11;6,16173E+11;30674488228;2,05266E+11;1168503;66,47;66,71;12,05;12,06;5,68;5,71;9778;10239;64,28;64,85
206;Kab. Pulang Pisau;2018;49237563087;95638569003;8229928499;5361595828;3923754699;1,59294E+11;2,49551E+11;18167324700;2,63055E+11;126657;67,86;67,92;12,38;12,39;7,67;7,7;9365;9807;67;67,54
207;Kab. Pulau Morotai;2018;57769750310;1,33136E+11;0;5308180121;9135978166;1,47803E+11;1,08378E+11;11772027675;1,07616E+11;65573;66,28;66,58;12,17;12,41;6,89;6,96;6167;6294;60,71;61,39
208;Kab. Pulau Taliabu;2018;36261047797;56535204815;11640475474;3398275000;2849239494;1,21165E+11;98132268302;7036429927;1,82179E+11;52503;61,32;61,58;11,87;12,14;7,43;7,44;6306;6455;59,03;59,67
209;Kab. Purbalingga;2018;96178339731;3,23957E+11;18620433234;29446813141;12848893247;2,72113E+11;6,39891E+11;16404553280;1,87051E+11;925193;72,91;72,98;11,94;11,95;6,87;7;9340;9786;67,72;68,41
210;Kab. Purwakarta;2018;85904121325;2,77753E+11;19748401889;29612205432;4135602765;3,74881E+11;6,85042E+11;21921454577;1,49438E+11;953414;70,42;70,61;11,89;12,09;7,74;7,75;10941;11372;69,28;69,98
211;Kab. Purworejo;2018;1,10595E+11;3,17838E+11;19786477960;13480885540;16649553738;2,58767E+11;6,41522E+11;22392626355;2,795E+11;716477;74,26;74,4;13,47;13,48;7,69;7,7;9601;10048;71,31;71,87
212;Kab. Rejang Lebong;2018;52628320316;2,00549E+11;21476485572;15966783229;13164533669;2,12429E+11;2,79232E+11;25342369584;1,16858E+11;259940;67,65;67,65;13,31;13,55;8,04;8,05;9660;10045;68,61;69,4
213;Kab. Rembang;2018;1,29051E+11;2,69096E+11;19466299577;19844412391;7506075711;2,8418E+11;5,41515E+11;23822358814;1,69839E+11;633584;74,32;74,39;12,04;12,05;6,94;6,95;9736;10191;68,95;69,46
214;Kab. Rokan Hilir;2018;76851755009;1,73449E+11;14787274290;20844503397;0;3,02975E+11;4,99202E+11;31702097344;2,7704E+11;697218;69,66;69,87;12,25;12,63;7,89;8,15;9250;9316;67,84;68,73
215;Kab. Rote Ndao;2018;54847878258;1,14424E+11;7652986351;2179778493;5553155934;1,59947E+11;1,83866E+11;10957168089;98842522646;165807;63,41;63,8;12,91;13,16;6,98;7,24;6320;6484;60,51;61,51
216;Kab. Samosir;2018;34416850730;93822086994;8704711287;11536110669;22676183457;1,22442E+11;2,09278E+11;9850343660;1,51401E+11;125816;70,68;70,87;13,43;13,44;8,95;9,14;8163;8348;69,43;69,99
217;Kab. Sampang;2018;84047651039;2,39448E+11;8834279209;19998162849;0;11582439377;5,29076E+11;12314742924;2,53023E+11;978875;67,67;67,79;11;11,38;4,12;4,36;8135;8352;59,9;61
218;Kab. Sanggau;2018;56890433102;2,41253E+11;16160912876;9422139238;4227864385;2,70047E+11;4,53085E+11;16909662430;2,08557E+11;463995;70,75;71,05;11,53;11,54;6,93;6,94;7828;8126;64,61;65,15
219;Kab. Sangihe;2018;53819325559;1,95606E+11;19651771994;8184530026;8978092959;1,85925E+11;2,05492E+11;16470140796;70353336906;130833;69,35;69,6;11,9;12,04;7,89;7,9;11111;11397;69,14;69,67
220;Kab. Sarolangun;2018;1,38134E+11;1,46113E+11;14805457561;5352932491;0;90734514368;3,05621E+11;15264454891;2,02697E+11;295985;68,83;68,94;12,24;12,25;7,47;7,63;11478;11609;69,03;69,41
221;Kab. Sekadau;2018;50537255435;1,0652E+11;7568624556;8055644114;0;1,66008E+11;2,17542E+11;8551687826;1,84971E+11;199576;70,98;71,24;11,53;11,56;6,57;6,58;7001;7326;63,04;63,69
222;Kab. Seluma;2018;41989324771;1,07638E+11;12136910803;6392088402;1962478500;1,92168E+11;2,28497E+11;24495708804;92453494080;191910;66,85;67,14;12,94;13,26;7,75;7,9;7584;7844;65;65,99
223;Kab. Semarang;2018;2,27514E+11;4,23513E+11;24070282317;24962764558;22033370163;1,69731E+11;6,67827E+11;24259479993;2,96444E+11;1040629;75,57;75,62;12,84;12,85;7,87;7,88;11389;11807;73,2;73,61
224;Kab. Serang;2018;72378343805;4,67622E+11;13591735808;27691376470;5634520044;5,03666E+11;9,00296E+11;47805612631;5,87503E+11;1501501;64,02;64,22;12,38;12,39;7,17;7,18;10466;10693;65,6;65,93
225;Kab. Serdang Bedagai;2018;60087140581;1,67911E+11;13366367030;10512898472;2290316680;2,45676E+11;4,93692E+11;12747141599;3,06567E+11;614618;67,79;68,08;12,55;12,57;8,35;8,51;10551;10737;69,16;69,69
226;Kab. Seruyan;2018;90284853673;1,11828E+11;16042715327;10501884436;0;1,88519E+11;1,82117E+11;18083182909;2,62408E+11;197839;69,23;69,24;11,62;11,97;7,75;7,76;8658;9110;66,14;67,04
227;Kab. Sidoarjo;2018;2,02251E+11;7,68501E+11;35430507721;1,8505E+11;0;7,28536E+11;1,11526E+12;26536918189;6,15855E+11;2249476;73,71;73,82;13,93;14,34;10,23;10,24;13252;13710;78,7;79,5
228;Kab. Sikka;2018;70305670893;2,33649E+11;12946048052;6583200224;6289118250;1,85828E+11;2,92559E+11;11555628762;98360208747;318920;66,3;66,61;12,34;12,7;6,56;6,69;7855;7958;63,08;63,89
229;Kab. Simalungun;2018;88122500785;2,81229E+11;36170977529;6556369527;8447243363;2,99228E+11;8,26843E+11;9224150427;3,44485E+11;863693;70,53;70,75;12,71;12,75;8,95;9,18;11055;11311;71,83;72,49
230;Kab. Simeulue;2018;67204581048;1,23338E+11;11291891912;11864863849;9737598021;1,60522E+11;1,63606E+11;21640485288;1,27328E+11;92393;64,9;65;13,23;13,25;9,06;9,07;6677;6824;64,41;64,74
231;Kab. Sinjai;2018;73406542066;1,94464E+11;12493326758;10852266123;5668910322;1,98613E+11;3,09468E+11;15014475748;1,92226E+11;242672;66,61;66,83;12,84;12,85;7,28;7,29;9465;9098;65,8;66,24
232;Kab. Sintang;2018;93656810311;3,037E+11;19646650217;28385656993;13787494453;3,10851E+11;4,60141E+11;17907726411;2,18867E+11;413369;71,11;71,29;11,54;11,98;6,72;6,73;8343;8624;65,16;66,07
233;Kab. Sleman;2018;1,46394E+11;3,69324E+11;26667007393;41602088852;29948527405;5,81832E+11;7,35681E+11;31744117021;3,34938E+11;1206714;74,63;74,69;16,48;16,71;10,65;10,66;15365;15844;82,85;83,42
234;Kab. Solok;2018;67780230417;1,40566E+11;15350223167;5076375027;9233530531;1,94381E+11;4,40547E+11;5045695439;1,50503E+11;460716;67,65;67,95;13,01;13,02;7,6;7,84;9743;10035;67,86;68,6
235;Kab. Sragen;2018;74007083735;3,65911E+11;19690886418;17544452122;3360273886;3,13714E+11;7,02331E+11;16202202382;3,61285E+11;887889;75,55;75,6;12,64;12,65;7,04;7,22;12041;12391;72,4;72,96
236;Kab. Sukabumi;2018;2,26507E+11;6,8714E+11;33101760640;31024008858;29268132742;5,53706E+11;1,2348E+12;69815021164;4,30096E+11;2460693;70,26;70,49;12,19;12,2;6,79;6,8;8263;8618;65,49;66,05
237;Kab. Sukamara;2018;39242384551;72700713666;8777781269;10382980660;15120551049;1,12826E+11;1,13001E+11;7405232566;1,96568E+11;62044;71,41;71,45;11,98;12,1;7,83;7,84;8177;8482;66,98;67,52
238;Kab. Sukoharjo;2018;82763187380;2,97149E+11;29758514895;37291157829;4992831027;3,85721E+11;6,72398E+11;26311280959;2,04455E+11;885205;77,49;77,54;13,8;13,81;8,71;8,84;10765;11100;75,56;76,07
